Area,Area.1,Area.2,Price,Change,Equi to US$,Price Chart,date
Northeast China,Heilongjiang,Harbin,14000.0,0.0,2022,,2023-01-03
Northeast China,Jilin,Changchun,13950.0,0.0,2014,,2023-01-03
Northeast China,Liaoning,Shengyang,13900.0,0.0,2007,,2023-01-03
Northeast China,Liaoning,Dalian,13800.0,0.0,1993,,2023-01-03
North China,Hebei,Shijiazhuang,13800.0,0.0,1993,,2023-01-03
North China,Henan,Zhengzhou,13800.0,0.0,1993,,2023-01-03
North China,Shandong,Qingdao,13800.0,0.0,1993,,2023-01-03
North China,Tianjin,Tianjin,13800.0,0.0,1993,,2023-01-03
Central China,Hubei,Wuhan,13800.0,0.0,1993,,2023-01-03
Central China,Jiangxi,Nanchang,13800.0,0.0,1993,,2023-01-03
East China,Anhui,Hefei,13800.0,0.0,1993,,2023-01-03
East China,Jiangsu,Nanjing,13800.0,0.0,1993,,2023-01-03
East China,Shanghai,Shanghai,13800.0,0.0,1993,,2023-01-03
East China,Zhejiang,Ningbo,13800.0,0.0,1993,,2023-01-03
Northwest China,Gansu,Lanzhou,14300.0,0.0,2065,,2023-01-03
Northwest China,Xinjiang,Urumqi,14400.0,0.0,2079,,2023-01-03
South China,Fujian,FUzhou,13800.0,0.0,1993,,2023-01-03
South China,Guangdong,Zhanjiang,13800.0,0.0,1993,,2023-01-03
South China,Guangdong,Huangpu,13800.0,0.0,1993,,2023-01-03
South China,Guangxi,Fangcheng,13800.0,0.0,1993,,2023-01-03
South China,Guangxi,Nanning,13800.0,0.0,1993,,2023-01-03
Southwest China,Sichuan,Chengdu,13900.0,0.0,2007,,2023-01-03
Southwest China,Yunnan,Kunming,14300.0,0.0,2065,,2023-01-03
Northeast China,Heilongjiang,Harbin,14000.0,0.0,2022,,2023-01-04
Northeast China,Jilin,Changchun,13950.0,0.0,2015,,2023-01-04
Northeast China,Liaoning,Shengyang,13900.0,0.0,2008,,2023-01-04
Northeast China,Liaoning,Dalian,13800.0,0.0,1993,,2023-01-04
North China,Hebei,Shijiazhuang,13800.0,0.0,1993,,2023-01-04
North China,Henan,Zhengzhou,13800.0,0.0,1993,,2023-01-04
North China,Shandong,Qingdao,13800.0,0.0,1993,,2023-01-04
North China,Tianjin,Tianjin,13800.0,0.0,1993,,2023-01-04
Central China,Hubei,Wuhan,13800.0,0.0,1993,,2023-01-04
Central China,Jiangxi,Nanchang,13800.0,0.0,1993,,2023-01-04
East China,Anhui,Hefei,13800.0,0.0,1993,,2023-01-04
East China,Jiangsu,Nanjing,13800.0,0.0,1993,,2023-01-04
East China,Shanghai,Shanghai,13800.0,0.0,1993,,2023-01-04
East China,Zhejiang,Ningbo,13800.0,0.0,1993,,2023-01-04
Northwest China,Gansu,Lanzhou,14300.0,0.0,2065,,2023-01-04
Northwest China,Xinjiang,Urumqi,14400.0,0.0,2080,,2023-01-04
South China,Fujian,FUzhou,13800.0,0.0,1993,,2023-01-04
South China,Guangdong,Zhanjiang,13800.0,0.0,1993,,2023-01-04
South China,Guangdong,Huangpu,13800.0,0.0,1993,,2023-01-04
South China,Guangxi,Fangcheng,13800.0,0.0,1993,,2023-01-04
South China,Guangxi,Nanning,13800.0,0.0,1993,,2023-01-04
Southwest China,Sichuan,Chengdu,13900.0,0.0,2008,,2023-01-04
Southwest China,Yunnan,Kunming,14300.0,0.0,2065,,2023-01-04
